ID Parcela,ID subparcela,Localidad,Estancia,Fecha,Edad,Condición,ID individuo,Especie,Perímetro,DAP,DAP calc,Altura,Grado de relevamiento,,,
1,1,Serrezuela,Gonzalez,4/12/2026,,Fuego,, -,,,0.00,,1,,,
1,2,Serrezuela,Gonzalez,4/12/2026,,Fuego,, -,,,0.00,,1,,,
1,3,Serrezuela,Gonzalez,4/12/2026,,Fuego,1,Cer pra,,6,6.00,4,1,,,
1,3,Serrezuela,Gonzalez,4/12/2026,,Fuego,1,Cer pra,,5.5,5.50,,1,,,
1,3,Serrezuela,Gonzalez,4/12/2026,,Fuego,1,Cer pra,,5.2,5.20,,1,,,
1,3,Serrezuela,Gonzalez,4/12/2026,,Fuego,2,Asp que,24,,7.64,4,1,,,
1,4,Serrezuela,Gonzalez,4/12/2026,,Fuego,, -,,,0.00,,1,,,
2,1,Serrezuela,Gonzalez,4/12/2026,,Referencia,3,Asp que,49,,15.60,6.5,1,,,
2,2,Serrezuela,Gonzalez,4/12/2026,,Referencia,, -,,,0.00,,1,,,
2,3,Serrezuela,Gonzalez,4/12/2026,,Referencia,4,Asp que,58,,18.46,6,1,,,
2,4,Serrezuela,Gonzalez,4/12/2026,,Referencia,, -,,,0.00,,1,,,
3,1,Serrezuela,Gonzalez,4/12/2026,,Chacra,5,Nel fle,36,,11.46,5,1,,,
3,2,Serrezuela,Gonzalez,4/12/2026,,Chacra,6,Lar div,25,,7.96,,1,,,
3,2,Serrezuela,Gonzalez,4/12/2026,,Chacra,6,Lar div,31,,9.87,,1,,,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,7,Nel fle,22,,7.00,3.5,1,,,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,8,Lar div,18.5,,5.89,,1,,,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,8,Lar div,22,,7.00,3.5,1,,,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,8,Lar div,18.5,,5.89,,1,,,
3,4,Serrezuela,Gonzalez,4/12/2026,,Chacra,, -,,,0.00,,1,,,
4,1,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,, -,,,0.00,,1,,,
4,2,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,,,,,0.00,,1,,,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,9,Nel fle,23,,7.32,,1,,,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,9,Nel fle,,5.5,5.50,,1,,,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,9,Nel fle,,7.5,7.50,3.5,1,,,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,9,Nel fle,,5,5.00,,1,,,
4,4,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,, -,,,0.00,,1,,,
5,1,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,10,Nel fle,41,,13.05,,1,,,
5,1,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,10,Nel fle,43,,13.69,4,1,,,
5,2,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,, -,,,0.00,,1,,,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,, -,,,0.00,,1,,,
5,4,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,11,Asp que,56,,17.83,8,1,,,
6,1,Serrezulea,Loyola,4/13/2026,,Referencia,12,Nel fle,,29.5,29.50,7.5,1,,,
6,1,Serrezulea,Loyola,4/13/2026,,Referencia,13,Cer pra,22,,7.00,3,1,,,
