ID Parcela,ID subparcela,Localidad,Estancia,Fecha,Edad,Condición,Especie,Cantidad juveniles,Grado de relevamiento,Observaciones nomeclaturales
1,1,Serrezuela,Gonzalez,4/12/2026,,Fuego,Cer pra,1,1,
1,2,Serrezuela,Gonzalez,4/12/2026,,Fuego,Ata ema,1,1,
1,3,Serrezuela,Gonzalez,4/12/2026,,Fuego,Cer pra,1,1,
1,4,Serrezuela,Gonzalez,4/12/2026,,Fuego,Geo dec,1,1,
1,4,Serrezuela,Gonzalez,4/12/2026,,Fuego,Mim det,2,1,
1,4,Serrezuela,Gonzalez,4/12/2026,,Fuego,Ziz mis,2,1,
1,4,Serrezuela,Gonzalez,4/12/2026,,Fuego,Cel pal,1,1,
1,4,Serrezuela,Gonzalez,4/12/2026,,Fuego,Cer pra,1,1,
2,1,Serrezuela,Gonzalez,4/12/2026,,Referencia,Geo dec,1,1,
2,2,Serrezuela,Gonzalez,4/12/2026,,Referencia,Lar div,2,1,
2,2,Serrezuela,Gonzalez,4/12/2026,,Referencia,Geo dec,2,1,
2,2,Serrezuela,Gonzalez,4/12/2026,,Referencia,May vit,1,1,
2,2,Serrezuela,Gonzalez,4/12/2026,,Referencia,Sen gil,4,1,
2,2,Serrezuela,Gonzalez,4/12/2026,,Referencia,Ata ema,1,1,
2,3,Serrezuela,Gonzalez,4/12/2026,,Referencia,Mim det,1,1,
2,3,Serrezuela,Gonzalez,4/12/2026,,Referencia,Lar div,1,1,
2,3,Serrezuela,Gonzalez,4/12/2026,,Referencia,Geo dec,1,1,
2,3,Serrezuela,Gonzalez,4/12/2026,,Referencia,Nel tor,2,1,
2,4,Serrezuela,Gonzalez,4/12/2026,,Referencia,Lar div,2,1,
2,4,Serrezuela,Gonzalez,4/12/2026,,Referencia,Mon spi,1,1,
2,4,Serrezuela,Gonzalez,4/12/2026,,Referencia,Mim det,1,1,
2,4,Serrezuela,Gonzalez,4/12/2026,,Referencia,Ata ema,1,1,
3,1,Serrezuela,Gonzalez,4/12/2026,,Chacra,-, ,1,
3,2,Serrezuela,Gonzalez,4/12/2026,,Chacra, -, ,1,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,Lar div,2,1,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,Sar mis,1,1,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,Vac aro,1,1,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,Nel tor,1,1,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,Cas coc,2,1,
3,3,Serrezuela,Gonzalez,4/12/2026,,Chacra,Asp que,1,1,
3,4,Serrezuela,Gonzalez,4/12/2026,,Chacra,Mim det,1,1,
3,4,Serrezuela,Gonzalez,4/12/2026,,Chacra,Lar div,2,1,
3,4,Serrezuela,Gonzalez,4/12/2026,,Chacra,Nel fle,2,1,
3,4,Serrezuela,Gonzalez,4/12/2026,,Chacra,Cas coc,1,1,
3,4,Serrezuela,Gonzalez,4/12/2026,,Chacra,Asp que,1,1,
4,1,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Sar mis,1,1,
4,1,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Cer pra,1,1,
4,1,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Sen gil,1,1,
4,1,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Cel pal,1,1,
4,2,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Cer pra,1,1,
4,2,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Sen gil,4,1,
4,2,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Nel fle,1,1,
4,2,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Sar mis,1,1,
4,2,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Nel tor,1,1,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Cas coc,1,1,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Lar div,3,1,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Geo dec,1,1,
4,3,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Sen gil,1,1,
4,4,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Cel pal,2,1,
4,4,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Sen gil,3,1,
4,4,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Mim det,4,1,
4,4,Serrezulea,Sosa Alverto,4/13/2026,,Chacra,Lar div,1,1,
5,1,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Ata ema,3,1,
5,1,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Mim det,1,1,
5,1,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Lar div,1,1,
5,2,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Mim det,1,1,
5,2,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Lyc sp.,1,1,
5,2,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Lar div,2,1,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Lar div,2,1,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Lyc sp.,2,1,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Sar mis,1,1,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Mim det,5,1,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Sen gil,2,1,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Sen aph,1,1,
5,3,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Ata ema,1,1,
5,4,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Cel pal,10,1,
5,4,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Mim det,4,1,
5,4,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Ata ema,4,1,
5,4,Serrezulea,Sosa Alverto,4/13/2026,,Referencia,Cer pra,1,1,
6,1,Serrezulea,Loyola,4/13/2026,,Referencia,Cel pal,2,1,
6,1,Serrezulea,Loyola,4/13/2026,,Referencia,Sen gil,1,1,
6,1,Serrezulea,Loyola,4/13/2026,,Referencia,Ata ema,3,1,
6,1,Serrezulea,Loyola,4/13/2026,,Referencia,May vit,1,1,
6,1,Serrezulea,Loyola,4/13/2026,,Referencia,Mim car,1,1,
6,2,Serrezulea,Loyola,4/13/2026,,Referencia,Sar mis,1,1,
6,2,Serrezulea,Loyola,4/13/2026,,Referencia,Mim car,4,1,
6,2,Serrezulea,Loyola,4/13/2026,,Referencia,Lyc sp.,1,1,
6,3,Serrezulea,Loyola,4/13/2026,,Referencia,Mim car,3,1,
6,4,Serrezulea,Loyola,4/13/2026,,Referencia,Lar div,2,1,
6,4,Serrezulea,Loyola,4/13/2026,,Referencia,Mim car,1,1,
6,4,Serrezulea,Loyola,4/13/2026,,Referencia,Lyc sp.,1,1,
6,4,Serrezulea,Loyola,4/13/2026,,Referencia,Ata ema,2,1,
6,4,Serrezulea,Loyola,4/13/2026,,Referencia,Cel pal,2,1,
6,4,Serrezulea,Loyola,4/13/2026,,Referencia,Sar mis,1,1,
6,4,Serrezulea,Loyola,4/13/2026,,Referencia,Nel tor,2,1,
7,1,Serrezulea,Loyola,4/13/2026,,Chacra,Ata ema,1,1,
7,1,Serrezulea,Loyola,4/13/2026,,Chacra,Asp que,1,1,
7,1,Serrezulea,Loyola,4/13/2026,,Chacra,Cel pal,1,1,
7,1,Serrezulea,Loyola,4/13/2026,,Chacra,Geo dec,1,1,
7,1,Serrezulea,Loyola,4/13/2026,,Chacra,May vit,1,1,
7,2,Serrezulea,Loyola,4/13/2026,,Chacra,Ata ema,2,1,
7,2,Serrezulea,Loyola,4/13/2026,,Chacra,May vit,2,1,
7,2,Serrezulea,Loyola,4/13/2026,,Chacra,Lar div,2,1,
7,3,Serrezulea,Loyola,4/13/2026,,Chacra,Sar mis,2,1,
7,3,Serrezulea,Loyola,4/13/2026,,Chacra,Cel pal,10,1,
7,3,Serrezulea,Loyola,4/13/2026,,Chacra,Ata ema,1,1,
7,3,Serrezulea,Loyola,4/13/2026,,Chacra,Cer pra,1,1,
7,3,Serrezulea,Loyola,4/13/2026,,Chacra,Mim car,1,1,
7,3,Serrezulea,Loyola,4/13/2026,,Chacra,Asp que,1,1,
7,3,Serrezulea,Loyola,4/13/2026,,Chacra,May vit,1,1,
7,4,Serrezulea,Loyola,4/13/2026,,Chacra,Cel pal,1,1,
7,4,Serrezulea,Loyola,4/13/2026,,Chacra,Lar div,3,1,
7,4,Serrezulea,Loyola,4/13/2026,,Chacra,Ata ema,3,1,
7,4,Serrezulea,Loyola,4/13/2026,,Chacra,Geo dec,1,1,
8,1,La Paz,Pichonas,4/14/2026,,Referencia,Cel pal,6,1,
8,1,La Paz,Pichonas,4/14/2026,,Referencia,Alo sp.,4,1,
8,2,La Paz,Pichonas,4/14/2026,,Referencia,Lar div,3,1,
8,2,La Paz,Pichonas,4/14/2026,,Referencia,Con mic,1,1,
8,3,La Paz,Pichonas,4/14/2026,,Referencia,Con mic,1,1,
8,3,La Paz,Pichonas,4/14/2026,,Referencia,Lar div,1,1,
8,3,La Paz,Pichonas,4/14/2026,,Referencia,Cel pal,1,1,
8,4,La Paz,Pichonas,4/14/2026,,Referencia,Alo sp.,3,1,
8,4,La Paz,Pichonas,4/14/2026,,Referencia,Cel pal,6,1,
8,4,La Paz,Pichonas,4/14/2026,,Referencia,Lar div,1,1,
9,1,La Paz,Pichonas,4/15/2026,,Chacra,Nel fle,2,1,
9,2,La Paz,Pichonas,4/15/2026,,Chacra,Nel fle,5,1,
9,3,La Paz,Pichonas,4/15/2026,,Chacra,Nel fle,2,1,
9,4,La Paz,Pichonas,4/15/2026,,Chacra,Nel fle,3,1,
9,4,La Paz,Pichonas,4/15/2026,,Chacra,Con mic,1,1,
10,1,Dolores,El Alamo,4/15/2026,,Referencia,Cel pal,7,1,
10,1,Dolores,El Alamo,4/15/2026,,Referencia,May vit,1,1,
10,2,Dolores,El Alamo,4/15/2026,,Referencia,Cel pal,4,1,
10,3,Dolores,El Alamo,4/15/2026,,Referencia,Cel pal,11,1,
10,3,Dolores,El Alamo,4/15/2026,,Referencia,Ata ema,1,1,
10,4,Dolores,El Alamo,4/15/2026,,Referencia,Xim ame,1,1,
10,4,Dolores,El Alamo,4/15/2026,,Referencia,Cel pal,2,1,
10,4,Dolores,El Alamo,4/15/2026,,Referencia,Ata ema,1,1,
10,4,Dolores,El Alamo,4/15/2026,,Referencia,Asp que,1,1,
10,4,Dolores,El Alamo,4/15/2026,,Referencia,Lar div,1,1,
11,1,Dolores,El Alamo,4/15/2026,,Chacra,Nel fle,2,1,
11,2,Dolores,El Alamo,4/15/2026,,Chacra,Asp que,1,1,
11,2,Dolores,El Alamo,4/15/2026,,Chacra,Cel pal,3,1,
11,2,Dolores,El Alamo,4/15/2026,,Chacra,Cer pra,1,1,
11,2,Dolores,El Alamo,4/15/2026,,Chacra,Lyc sp.,4,1,
11,3,Dolores,El Alamo,4/15/2026,,Chacra,Cel pal,1,1,
11,3,Dolores,El Alamo,4/15/2026,,Chacra,Lar div,1,1,
11,4,Dolores,El Alamo,4/15/2026,,Chacra,Cel pal,2,1,
11,4,Dolores,El Alamo,4/15/2026,,Chacra,Nel fle,1,1,
11,4,Dolores,El Alamo,4/15/2026,,Chacra,Lar div,1,1,
12,1,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Alo sp.,4,1,
12,2,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Alo sp.,2,1,
12,2,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Cel pal,3,1,
12,2,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Lyc sp.,2,1,
12,2,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Lar div,1,1,
12,2,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Nel fle,1,1,
12,3,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Cel pal,3,1,
12,3,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Alo sp.,5,1,
12,4,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Alo sp.,12,1,
12,4,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Cel pal,2,1,
12,4,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Rolado,Vac aro,1,1,
13,1,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Referencia,Alo sp.,8,1,
13,1,Quines,Escuela Agrotecnica JP Pringles,4/16/2026,,Referencia,Cel pal,6,1,
